date,obs,sim,bf
1987-01-08 00:00:00 +0000 UTC,NaN,4.172516570080805e-05,3.7642145345360235e-05
1987-01-09 00:00:00 +0000 UTC,NaN,3.938326272511872e-05,3.5529409524782715e-05
1987-01-10 00:00:00 +0000 UTC,NaN,3.717280343468326e-05,3.353525495420033e-05
1987-01-11 00:00:00 +0000 UTC,NaN,3.508641030678937e-05,3.165302603914005e-05
1987-01-12 00:00:00 +0000 UTC,NaN,3.3117119895987346e-05,2.9876440742818544e-05
1987-01-13 00:00:00 +0000 UTC,NaN,3.125835959322906e-05,2.819956961951806e-05
1987-01-14 00:00:00 +0000 UTC,NaN,3.691223659045039e-05,3.679222472995017e-05
1987-01-15 00:00:00 +0000 UTC,NaN,6.632797985264775e-05,4.884617161973549e-05
1987-01-16 00:00:00 +0000 UTC,NaN,8.486536987920687e-05,5.901830763356307e-05
1987-01-17 00:00:00 +0000 UTC,NaN,8.40267471454724e-05,5.57057947184972e-05
1987-01-18 00:00:00 +0000 UTC,NaN,5.828243657691852e-05,5.257920278714721e-05
1987-01-19 00:00:00 +0000 UTC,NaN,5.501122580142081e-05,4.962809667651987e-05
1987-01-20 00:00:00 +0000 UTC,NaN,5.19236178497963e-05,4.6842626916664865e-05
1987-01-21 00:00:00 +0000 UTC,NaN,4.900930767010925e-05,4.421349685755719e-05
1987-01-22 00:00:00 +0000 UTC,NaN,4.625856860074036e-05,4.173193164104473e-05
1987-01-23 00:00:00 +0000 UTC,NaN,4.366221990714835e-05,3.93896489143033e-05
1987-01-24 00:00:00 +0000 UTC,NaN,4.121159614069145e-05,3.71788311870539e-05
1987-01-25 00:00:00 +0000 UTC,NaN,3.88985182172424e-05,3.509209974028275e-05
1987-01-26 00:00:00 +0000 UTC,NaN,3.6715266119070346e-05,3.31224899993833e-05
1987-01-27 00:00:00 +0000 UTC,NaN,3.465455312888055e-05,3.1263428289526655e-05
1987-01-28 00:00:00 +0000 UTC,NaN,3.270950151001693e-05,2.9508709895680352e-05
1987-01-29 00:00:00 +0000 UTC,NaN,3.087361955165864e-05,2.7852478354049616e-05
1987-01-30 00:00:00 +0000 UTC,NaN,2.9140779902398012e-05,2.6289205905825202e-05
1987-01-31 00:00:00 +0000 UTC,NaN,2.7505199119886888e-05,2.4813675048001206e-05
1987-02-01 00:00:00 +0000 UTC,NaN,2.5961418368297367e-05,2.342096111968775e-05
1987-02-02 00:00:00 +0000 UTC,NaN,2.4504285199173632e-05,2.2106415865799426e-05
1987-02-03 00:00:00 +0000 UTC,NaN,2.3128936354867577e-05,2.086565192326249e-05
1987-02-04 00:00:00 +0000 UTC,NaN,2.183078153716377e-05,1.9694528177962658e-05
1987-02-05 00:00:00 +0000 UTC,NaN,2.0605488086920683e-05,1.858913594356166e-05
1987-02-06 00:00:00 +0000 UTC,NaN,1.944896652359574e-05,1.7545785916053498e-05
1987-02-07 00:00:00 +0000 UTC,NaN,1.8357356896391578e-05,1.6560995860520706e-05
1987-02-08 00:00:00 +0000 UTC,NaN,1.8808499466577676e-05,1.7666315399944385e-05
1987-02-09 00:00:00 +0000 UTC,NaN,2.199393463522847e-05,1.6674760401666814e-05
1987-02-10 00:00:00 +0000 UTC,NaN,1.7446042560860467e-05,1.5738858282461715e-05
1987-02-11 00:00:00 +0000 UTC,NaN,1.6466850787716934e-05,1.485548542038735e-05
1987-02-12 00:00:00 +0000 UTC,NaN,1.5542617984508684e-05,1.4021693512626492e-05
1987-02-13 00:00:00 +0000 UTC,NaN,1.4670259476242325e-05,1.3234699735372591e-05
