date,obs,sim
1991-12-15 00:00:00 +0000 UTC,1.585372116218105e+06,1.2266221007629014e+06
1992-01-15 00:00:00 +0000 UTC,881502.4248129878,1.320278266202217e+06
1992-02-15 00:00:00 +0000 UTC,1.1745520240163545e+06,936558.8087945515
1992-03-15 00:00:00 +0000 UTC,4.362437827210418e+06,2.469721216135786e+06
1992-04-15 00:00:00 +0000 UTC,4.029598503029226e+06,2.7133406831042063e+06
1992-05-15 00:00:00 +0000 UTC,2.0212384424515455e+06,2.1284317822391414e+06
1992-06-15 00:00:00 +0000 UTC,798792.1813761059,953542.7421045317
1992-07-15 00:00:00 +0000 UTC,870022.9157707999,855446.777881087
1992-08-15 00:00:00 +0000 UTC,1.900981055743006e+06,1.8137294237422403e+06
1992-09-15 00:00:00 +0000 UTC,1.6597558201067003e+06,2.305036456907367e+06
1992-10-15 00:00:00 +0000 UTC,1.6029133475337285e+06,1.7877212803511217e+06
1992-11-15 00:00:00 +0000 UTC,2.999550687318338e+06,2.5093003606521687e+06
1992-12-15 00:00:00 +0000 UTC,1.789649755005022e+06,2.2118274224606077e+06
1993-01-15 00:00:00 +0000 UTC,2.6422868700689324e+06,4.173422682024141e+06
1993-02-15 00:00:00 +0000 UTC,1.0113963597113095e+06,896909.3952542304
1993-03-15 00:00:00 +0000 UTC,2.14624747132481e+06,1.511440786407083e+06
1993-04-15 00:00:00 +0000 UTC,6.710298382728436e+06,3.603548016509671e+06
1993-05-15 00:00:00 +0000 UTC,1.7678897424163641e+06,1.775617862563803e+06
1993-06-15 00:00:00 +0000 UTC,1.7863191577142444e+06,1.8923234478042554e+06
1993-07-15 00:00:00 +0000 UTC,901663.740908417,1.1939477574822255e+06
1993-08-15 00:00:00 +0000 UTC,923246.1217297985,1.0279159086226786e+06
1993-09-15 00:00:00 +0000 UTC,976980.0297728876,993776.8986227997
1993-10-15 00:00:00 +0000 UTC,1.4035206200657373e+06,1.2479914727789976e+06
1993-11-15 00:00:00 +0000 UTC,1.5194259616409095e+06,1.0773932967471948e+06
1993-12-15 00:00:00 +0000 UTC,1.575158233352332e+06,1.1242993195736748e+06
1994-01-15 00:00:00 +0000 UTC,786468.9144911505,273741.8075656974
1994-02-15 00:00:00 +0000 UTC,1.6744105275941382e+06,1.1053432539025417e+06
1994-03-15 00:00:00 +0000 UTC,2.5747864279329274e+06,1.351411151441372e+06
1994-04-15 00:00:00 +0000 UTC,3.1993875358937327e+06,2.214128025446461e+06
1994-05-15 00:00:00 +0000 UTC,2.634959518972148e+06,2.7476170312022446e+06
1994-06-15 00:00:00 +0000 UTC,1.0739674921817053e+06,1.5993721907843295e+06
1994-07-15 00:00:00 +0000 UTC,976269.4934395107,1.0390009586783168e+06
1994-08-15 00:00:00 +0000 UTC,786069.2446691114,754009.5558707984
1994-09-15 00:00:00 +0000 UTC,776721.3168342473,356901.5203146161
1994-10-15 00:00:00 +0000 UTC,1.0353767740230643e+06,515208.8432922114
1994-11-15 00:00:00 +0000 UTC,1.2922781252853896e+06,915089.1280707284
1994-12-15 00:00:00 +0000 UTC,1.3910863143013965e+06,1.171102288345541e+06
1995-01-15 00:00:00 +0000 UTC,3.964318475850988e+06,3.9299593259077775e+06
1995-02-15 00:00:00 +0000 UTC,721855.0014771997,1.0605137023211464e+06
1995-03-15 00:00:00 +0000 UTC,3.42853372930025e+06,1.5084622647092834e+06
1995-04-15 00:00:00 +0000 UTC,2.186436880682811e+06,1.581312835543928e+06
1995-05-15 00:00:00 +0000 UTC,1.6584235811903893e+06,1.8003208503828351e+06
1995-06-15 00:00:00 +0000 UTC,1.4409567138702737e+06,2.0655419052186604e+06
1995-07-15 00:00:00 +0000 UTC,1.2061040405494014e+06,2.2140473431219175e+06
1995-08-15 00:00:00 +0000 UTC,781517.4063139332,1.3602645335764687e+06
1995-09-15 00:00:00 +0000 UTC,1.1237490632940077e+06,1.9860437325966442e+06
1995-10-15 00:00:00 +0000 UTC,2.326988782497233e+06,2.7499313778067804e+06
1995-11-15 00:00:00 +0000 UTC,4.1412851242108447e+06,5.386929860388208e+06
1995-12-15 00:00:00 +0000 UTC,1.800307729861923e+06,1.3482603000223003e+06
1996-01-15 00:00:00 +0000 UTC,3.3594790035758363e+06,4.1048388099286887e+06
1996-02-15 00:00:00 +0000 UTC,2.915619238550663e+06,4.200948633050142e+06
1996-03-15 00:00:00 +0000 UTC,3.7165208171806214e+06,3.0954461240751343e+06
1996-04-15 00:00:00 +0000 UTC,4.457027224365654e+06,2.995230612923025e+06
1996-05-15 00:00:00 +0000 UTC,2.910956383815038e+06,2.783236907933501e+06
1996-06-15 00:00:00 +0000 UTC,1.7467958651674646e+06,1.8819070754789049e+06
1996-07-15 00:00:00 +0000 UTC,1.9357526823026568e+06,2.319107540478344e+06
1996-08-15 00:00:00 +0000 UTC,1.7019435904861018e+06,2.084906301447029e+06
1996-09-15 00:00:00 +0000 UTC,2.7921644840015387e+06,3.1555742463913397e+06
1996-10-15 00:00:00 +0000 UTC,2.4635439305056455e+06,2.5786289925782005e+06
1996-11-15 00:00:00 +0000 UTC,2.0298980377585096e+06,1.7153000069852981e+06
1996-12-15 00:00:00 +0000 UTC,3.0346331658311896e+06,1.9578666755886164e+06
1997-01-15 00:00:00 +0000 UTC,2.5350411105660554e+06,1.804438232693871e+06
1997-02-15 00:00:00 +0000 UTC,4.836495170017252e+06,3.471146220228255e+06
1997-03-15 00:00:00 +0000 UTC,6.511127725078416e+06,3.910413408295156e+06
1997-04-15 00:00:00 +0000 UTC,4.99436626773947e+06,2.717170862102724e+06
1997-05-15 00:00:00 +0000 UTC,2.6465056460480997e+06,2.6760196158115827e+06
1997-06-15 00:00:00 +0000 UTC,2.122489073892346e+06,1.6681426634069555e+06
1997-07-15 00:00:00 +0000 UTC,1.0355988120778267e+06,1.2959318006385418e+06
1997-08-15 00:00:00 +0000 UTC,946316.1681058244,658728.1422414592
1997-09-15 00:00:00 +0000 UTC,1.1916935788926035e+06,765878.6104365377
1997-10-15 00:00:00 +0000 UTC,1.2467597232050693e+06,731813.1286811219
1997-11-15 00:00:00 +0000 UTC,1.8997820409830196e+06,1.474519070024511e+06
1997-12-15 00:00:00 +0000 UTC,1.523644748207812e+06,1.0968512388191943e+06
1998-01-15 00:00:00 +0000 UTC,2.804154713656355e+06,2.7664900140681365e+06
1998-02-15 00:00:00 +0000 UTC,2.207308730464683e+06,2.265187829258966e+06
1998-03-15 00:00:00 +0000 UTC,5.940704659502774e+06,3.7634808417780274e+06
1998-04-15 00:00:00 +0000 UTC,3.0686054196600863e+06,3.2564792784195924e+06
1998-05-15 00:00:00 +0000 UTC,1.3469001934883303e+06,1.3152760485292017e+06
1998-06-15 00:00:00 +0000 UTC,1.9985680645740924e+06,1.3127320996808165e+06
1998-07-15 00:00:00 +0000 UTC,1.3895320452711254e+06,2.038989811088023e+06
1998-08-15 00:00:00 +0000 UTC,1.4877407381566078e+06,1.5998915603247525e+06
1998-09-15 00:00:00 +0000 UTC,1.109982523907224e+06,1.237754251619955e+06
1998-10-15 00:00:00 +0000 UTC,1.280065852281943e+06,986890.5220327652
1998-11-15 00:00:00 +0000 UTC,1.454367969870499e+06,591705.2899484506
