date,obs,sim
2014-04-15 00:00:00 +0000 UTC,9.138315875076804e+06,6.350829211458662e+06
2014-05-15 00:00:00 +0000 UTC,2.3172189625063157e+06,2.6103544710225007e+06
2014-06-15 00:00:00 +0000 UTC,1.4472626700631462e+06,1.1823073987186775e+06
2014-07-15 00:00:00 +0000 UTC,1.0795629265993377e+06,976109.4332080972
2014-08-15 00:00:00 +0000 UTC,1.3748773351367533e+06,1.0616067763674292e+06
2014-09-15 00:00:00 +0000 UTC,1.741466867151278e+06,1.698200177988565e+06
2014-10-15 00:00:00 +0000 UTC,1.6468774514675038e+06,1.581286476168981e+06
2014-11-15 00:00:00 +0000 UTC,2.0711976453311255e+06,1.7241688826663664e+06
2014-12-15 00:00:00 +0000 UTC,2.1784433915993334e+06,1.5977862107357818e+06
2015-01-15 00:00:00 +0000 UTC,1.368216103498124e+06,725678.8459392816
2015-02-15 00:00:00 +0000 UTC,858410.1680141508,138456.09249419198
2015-03-15 00:00:00 +0000 UTC,2.831909793427611e+06,2.6315114783463124e+06
2015-04-15 00:00:00 +0000 UTC,3.427645588992404e+06,1.9228183881264015e+06
2015-05-15 00:00:00 +0000 UTC,1.5163173971110268e+06,1.0546819927908322e+06
2015-06-15 00:00:00 +0000 UTC,2.68314238565042e+06,3.043092509117184e+06
2015-07-15 00:00:00 +0000 UTC,1.6064660014078056e+06,2.4207087086534654e+06
2015-08-15 00:00:00 +0000 UTC,1.0102861588497611e+06,1.0580336336727578e+06
2015-09-15 00:00:00 +0000 UTC,1.0222763673291057e+06,776031.248928449
2015-10-15 00:00:00 +0000 UTC,1.2984952649328902e+06,679299.3465869977
2015-11-15 00:00:00 +0000 UTC,1.578488838583911e+06,1.1466825404440481e+06
2015-12-15 00:00:00 +0000 UTC,1.5971402919365547e+06,942181.6025817073
2016-01-15 00:00:00 +0000 UTC,2.5028451823507296e+06,1.2289903518353913e+06
2016-02-15 00:00:00 +0000 UTC,2.0252351724351477e+06,2.3491618361259312e+06
2016-03-15 00:00:00 +0000 UTC,3.801784552509418e+06,2.845448415014231e+06
2016-04-15 00:00:00 +0000 UTC,3.2278087668863493e+06,3.1466731073564794e+06
2016-05-15 00:00:00 +0000 UTC,1.436826751789545e+06,1.3513051420026508e+06
2016-06-15 00:00:00 +0000 UTC,806252.7553057482,704771.7318264387
2016-07-15 00:00:00 +0000 UTC,797038.0688322798,762229.1200278216
2016-08-15 00:00:00 +0000 UTC,905371.8227442949,964397.595838279
2016-09-15 00:00:00 +0000 UTC,622402.8862207779,797281.5748640898
2016-10-15 00:00:00 +0000 UTC,1.237855895302136e+06,899000.1136850232
2016-11-15 00:00:00 +0000 UTC,1.3151483255009262e+06,816805.2327285362
2016-12-15 00:00:00 +0000 UTC,1.7832105720088906e+06,750097.1041418242
2017-01-15 00:00:00 +0000 UTC,3.403665172033713e+06,3.7002611545440233e+06
2017-02-15 00:00:00 +0000 UTC,2.386939814306218e+06,2.83890831041322e+06
2017-03-15 00:00:00 +0000 UTC,2.691579964078093e+06,3.018111634881259e+06
2017-04-15 00:00:00 +0000 UTC,3.8082237010954074e+06,4.060791013127943e+06
2017-05-15 00:00:00 +0000 UTC,3.8046710551621323e+06,5.225419435605932e+06
2017-06-15 00:00:00 +0000 UTC,3.2651116285937596e+06,3.769185920747826e+06
2017-07-15 00:00:00 +0000 UTC,1.8813526706830158e+06,2.729994041102496e+06
2017-08-15 00:00:00 +0000 UTC,1.4612512554454948e+06,1.336523267866111e+06
2017-09-15 00:00:00 +0000 UTC,1.3309132312029784e+06,867803.1633857967
2017-10-15 00:00:00 +0000 UTC,1.7705542308367202e+06,1.1224074387002164e+06
2017-11-15 00:00:00 +0000 UTC,2.3411993768180697e+06,1.556325129377422e+06
2017-12-15 00:00:00 +0000 UTC,1.3524512083838081e+06,780861.0123721572
